ChannelPartnerID,Month,Year,Brand,Sales
10016,6,2022,B4,36907
10016,2,2022,B2,6569
10016,6,2022,B5,12191
10016,9,2021,B3,1731
10016,5,2021,B1,21856
10016,1,2021,B2,10078
10016,7,2021,B4,19859
10017,4,2021,B3,10093
10017,11,2021,B3,2835
10017,7,2021,B4,17336
10017,10,2022,B1,17798
10017,1,2022,B3,37400
10018,3,2021,B6,27464
10018,1,2021,B1,35497
10018,1,2022,B4,33382
10018,9,2021,B2,35722
10018,9,2021,B3,15495
10018,2,2021,B1,21521
10019,6,2022,B5,29390
10019,9,2021,B3,5644
10019,6,2022,B1,34752
10019,12,2022,B3,12254
10019,4,2021,B4,47267
10019,3,2022,B1,20063
10020,5,2022,B5,23672
10020,8,2022,B2,60948
10020,11,2022,B3,2062
10020,4,2022,B3,5764
10021,9,2022,B3,35959
10021,8,2022,B4,42155
10021,7,2022,B2,21755
10021,2,2021,B2,4176
10021,11,2022,B4,8511
10021,2,2021,B4,4272
10021,7,2022,B5,12353
10022,11,2021,B1,19707
10022,3,2021,B4,57232
10022,8,2022,B5,13567
10022,1,2022,B5,57043
10022,4,2021,B5,9628
10022,5,2021,B2,11370
10022,10,2022,B5,49728
10022,1,2021,B2,33686
10022,2,2021,B1,30814
10022,1,2021,B1,7834
10022,1,2021,B1,3701
10023,3,2021,B1,3815
10023,4,2022,B1,16420
10023,2,2022,B4,43751
10023,11,2021,B2,2269
10023,8,2021,B1,24258
10024,9,2022,B2,9910
10024,2,2021,B4,28152
10024,2,2022,B5,47084
10024,4,2021,B5,12165
10024,9,2021,B4,13677
10024,5,2022,B1,16140
10025,4,2021,B3,12841
10025,3,2022,B2,6079
10025,12,2022,B1,62034
10026,5,2022,B2,6822
10026,8,2022,B1,10978
10026,3,2022,B5,14865
10026,9,2022,B1,29635
10026,8,2022,B5,32884
10027,7,2022,B4,54420
10027,11,2022,B5,5039
10027,9,2021,B4,10676
10027,9,2021,B4,4440
10027,7,2021,B4,8389
10028,6,2022,B4,41079
10029,4,2022,B3,33920
10029,5,2021,B5,46844
10029,12,2021,B5,17732
10029,5,2022,B3,55219
10029,11,2022,B4,10393
10029,9,2021,B2,5830
10029,8,2021,B4,14120
10030,9,2021,B4,14398
10030,3,2021,B3,11455
10030,12,2021,B5,13137
10031,1,2022,B1,11792
10031,12,2021,B4,5215
10031,6,2022,B1,13078
10031,12,2021,B4,4924
10031,1,2021,B5,32757
10031,6,2021,B4,23793
10032,1,2021,B5,19170
10032,12,2022,B3,5770
10032,7,2022,B5,47048
10032,6,2021,B3,39586
10033,5,2021,B1,32295
10033,5,2022,B4,9721
10033,11,2022,B1,7219
10033,8,2022,B2,11465
10033,8,2021,B5,10399
10034,6,2021,B3,19905
10034,2,2022,B2,1654
10034,3,2022,B2,16690
10034,3,2021,B5,37009
10034,3,2022,B5,5003
10034,12,2022,B5,62382
10035,10,2022,B3,51971
10035,11,2021,B1,34451
10035,2,2022,B5,9569
10035,4,2022,B3,2748
10035,7,2021,B4,33681
10035,12,2022,B1,9369
10035,5,2022,B2,8230
10036,6,2021,B4,6793
10036,10,2022,B5,11418
10036,6,2022,B2,32903
10036,2,2022,B4,1042
10036,7,2022,B2,28846
10036,3,2021,B2,11538
10036,7,2022,B2,49909
10037,8,2022,B3,23167
10037,12,2021,B2,27780
10037,7,2022,B5,7924
10037,7,2022,B2,9460
10037,2,2022,B3,57324
10037,5,2022,B1,37389
10037,9,2021,B5,7602
10038,5,2022,B2,14222
10038,2,2021,B1,20462
10038,3,2021,B5,59204
10038,12,2021,B4,26511
10038,12,2022,B3,17116
10039,10,2022,B3,20359
10039,4,2022,B5,23639
10039,1,2022,B1,28185
10039,7,2022,B5,42695
10039,6,2022,B5,58205
10039,9,2022,B5,8290
10040,5,2021,B4,29775
10040,9,2022,B4,3684
10040,4,2022,B1,13409
10040,1,2021,B4,7471
10040,11,2022,B2,43151
10040,11,2021,B3,18035
10041,9,2022,B2,45870
10041,8,2021,B1,17014
10041,9,2021,B1,59589
10041,8,2021,B1,17921
10041,1,2021,B4,28177
10041,11,2022,B4,45822
10041,4,2022,B1,29427
10042,2,2022,B3,19478
10042,3,2021,B3,4511
10042,10,2021,B1,12033
10042,9,2021,B1,10508
10042,6,2021,B3,44761
10043,1,2022,B4,38775
10043,5,2021,B5,10153
10043,8,2021,B1,4992
10043,5,2021,B1,22884
10043,9,2022,B5,4944
10044,5,2021,B1,3281
10044,11,2021,B2,30376
10044,3,2022,B4,9083
10044,10,2022,B2,20642
10044,6,2021,B1,9059
10044,10,2021,B3,25011
10044,1,2022,B5,11095
10044,7,2022,B3,30976
10044,3,2021,B4,2295
10044,3,2021,B1,60785
10045,1,2021,B5,23169
10045,10,2022,B1,10215
10046,10,2022,B1,28399
10046,10,2022,B3,28668
10047,2,2022,B4,42967
10048,5,2022,B3,47617
10048,8,2022,B1,44211
10048,2,2021,B4,9495
10049,5,2022,B2,3062
10049,8,2021,B1,48843
10049,9,2021,B2,15497
10049,7,2021,B2,18064
10049,8,2022,B4,14899
10050,10,2022,B1,34366
10050,5,2022,B1,42340
10050,7,2022,B3,41251
10050,11,2022,B4,45970
10050,9,2021,B4,46104
10050,6,2021,B1,3942
10051,1,2021,B2,66164
10051,4,2021,B1,13558
10051,1,2022,B3,9363
10051,6,2022,B3,9085
10051,1,2022,B5,48513
10051,9,2021,B3,45921
10052,3,2021,B4,16319
10052,9,2021,B4,11523
10052,8,2022,B2,4378
10053,12,2021,B7,17031
10053,8,2021,B4,5774
10053,12,2021,B4,27721
10053,12,2021,B2,35835
10053,7,2021,B5,41411
10053,12,2022,B3,12502
10053,5,2021,B5,10818
10053,6,2022,B1,64325
10054,4,2021,B3,6194
10054,7,2021,B4,30417
10054,7,2022,B3,38286
10054,3,2022,B4,9464
10054,11,2022,B3,8195
10054,9,2021,B1,11911
10055,1,2022,B2,5482
10055,12,2022,B2,16797
10055,8,2022,B1,19313
10055,9,2021,B1,10129
10056,11,2021,B5,41074
10056,10,2022,B3,5786
10056,2,2022,B5,33677
10057,8,2022,B5,11072
10057,5,2021,B4,59603
10057,4,2021,B3,44762
10057,2,2022,B5,22193
10057,7,2021,B4,40310
10057,10,2022,B2,14105
10057,12,2021,B3,23885
10058,2,2022,B2,6404
10058,4,2022,B5,15895
10058,4,2021,B1,8631
10058,12,2022,B5,11839
10058,12,2022,B1,52492
10058,1,2022,B5,25841
10058,7,2022,B4,46823
10058,5,2022,B1,4106
10059,12,2021,B5,67996
10059,6,2022,B1,41799
10059,1,2022,B2,21354
10059,5,2022,B4,26580
10060,11,2021,B3,6722
10060,2,2022,B5,16880
10060,1,2022,B5,17967
10060,10,2022,B4,38977
10060,6,2021,B1,11952
10060,4,2022,B3,19491
10061,10,2022,B2,12351
10061,9,2022,B4,24989
10061,8,2022,B4,31229
10061,5,2022,B5,43770
10061,6,2021,B1,23480
10061,7,2022,B4,63790
10061,3,2022,B5,13906
10061,10,2022,B1,8825
10062,5,2021,B2,3620
10062,6,2021,B4,21708
10062,10,2022,B5,11503
10062,12,2021,B5,24247
10063,2,2021,B5,44695
10063,8,2021,B1,38562
10063,10,2022,B3,16839
10063,9,2021,B5,28838
10063,1,2022,B2,7170
10064,1,2022,B5,2671
10064,11,2022,B2,26716
10064,9,2022,B4,7237
10064,7,2022,B3,11114
10064,11,2022,B3,46318
10064,2,2022,B1,34529
10065,5,2022,B2,19735
10065,2,2021,B3,3244
10065,4,2022,B5,11071
10065,7,2022,B5,46027
10065,3,2022,B2,44026
10066,2,2021,B5,7984
10066,6,2022,B3,60561
10066,5,2022,B5,7450
10066,1,2022,B1,7223
10066,8,2021,B5,69239
10066,9,2021,B4,11288
10066,8,2022,B3,59489
10066,1,2021,B2,20830
10066,10,2022,B1,15271
10066,5,2021,B1,7809
10066,7,2021,B5,27643
10067,12,2021,B3,25154
10067,5,2022,B1,36783
10067,9,2021,B1,51181
10067,3,2022,B1,11743
10067,7,2022,B1,2810
10068,7,2021,B3,22021
10069,7,2021,B2,13127
10069,7,2022,B4,54490
10069,11,2022,B3,15410
10069,6,2021,B4,25153
10069,6,2021,B2,27210
10070,8,2021,B2,17998
10070,7,2022,B3,4588
10070,4,2021,B4,46143
10071,5,2022,B3,1690
10071,10,2021,B5,72900
10071,7,2022,B5,35637
10071,8,2022,B4,24299
10071,12,2021,B5,26483
10071,5,2021,B5,19145
10071,5,2022,B2,3915
10071,7,2021,B1,32629
10072,7,2022,B2,20145
10072,3,2021,B1,37955
10072,9,2022,B5,22707
10072,8,2022,B2,19999
10072,9,2021,B1,37435
10072,10,2022,B3,8807
10072,1,2021,B3,6425
10072,5,2021,B3,23766
10072,11,2022,B5,3835
10072,12,2022,B1,27167
10073,4,2022,B4,34004
10073,2,2022,B1,32020
10073,8,2021,B4,39515
10073,6,2021,B2,27578
10073,4,2021,B5,42555
10073,8,2021,B3,5629
10074,2,2021,B1,6335
10074,6,2022,B1,38631
10074,6,2022,B2,23390
10074,4,2022,B5,44138
10075,3,2022,B2,10573
10075,9,2022,B5,11272
10075,4,2022,B3,24237
10076,5,2022,B4,21260
10076,1,2021,B5,61524
10077,7,2022,B5,47180
10077,1,2022,B5,43865
10077,3,2022,B4,13467
10077,10,2022,B5,30253
10078,1,2021,B1,26453
10078,9,2022,B5,52283
10078,9,2022,B5,44626
10078,4,2022,B2,6437
10078,2,2021,B2,21988
10079,3,2021,B1,4992
10079,4,2021,B3,12500
10079,6,2022,B5,33447
10079,9,2022,B2,29882
10079,10,2021,B1,19760
10079,7,2022,B4,41185
10079,7,2021,B4,5332
10080,10,2022,B5,11669
10080,2,2022,B3,19983
10080,1,2021,B1,37728
10080,7,2022,B4,11473
10081,1,2021,B1,25658
10081,4,2021,B5,11158
10081,12,2022,B2,26402
10081,7,2022,B2,21209
10081,4,2021,B4,67616
10081,11,2021,B4,2158
10081,10,2021,B3,34485
10081,9,2022,B5,6341
10081,1,2021,B4,4210
10081,9,2022,B5,22705
10081,8,2022,B1,41574
10081,3,2021,B1,2269
10082,6,2022,B4,10065
10082,10,2022,B3,7253
10083,10,2021,B2,68758
10083,6,2022,B1,37816
10083,4,2021,B1,44587
10083,11,2022,B2,7464
10083,4,2021,B3,31963
10083,11,2021,B3,7442
10083,1,2022,B3,5935
10083,3,2021,B1,41375
10084,1,2022,B4,11616
10084,8,2021,B5,6277
10084,1,2022,B3,32881
10084,10,2022,B2,10420
10084,5,2022,B1,36192
10085,5,2022,B4,8549
10085,11,2022,B3,4693
10085,9,2022,B3,2682
10085,1,2022,B4,47992
10085,7,2022,B3,14683
10086,11,2021,B5,21066
10086,12,2021,B2,9772
10086,5,2021,B3,13072
10086,11,2022,B2,31214
10086,2,2022,B5,9686
10086,9,2021,B4,59322
10086,9,2022,B4,30332
10086,11,2021,B5,5451
10087,10,2021,B4,26126
10087,4,2021,B3,13327
10087,8,2021,B2,22363
10087,8,2022,B5,23936
10087,12,2022,B4,24396
10087,6,2021,B1,24297
10087,12,2021,B4,29502
10088,1,2022,B1,45257
10088,9,2022,B5,32023
10088,5,2022,B4,5066
10088,10,2021,B5,18881
10088,2,2022,B3,17830
10088,3,2021,B1,34642
10089,6,2022,B2,29646
10089,2,2021,B5,6530
10089,7,2022,B2,6915
10089,9,2021,B3,16598
10089,10,2021,B4,53574
10090,7,2021,B4,25780
10090,2,2022,B1,32027
10090,8,2022,B5,3760
10090,5,2021,B5,19250
10090,4,2021,B3,13340
10090,6,2021,B4,32745
10090,2,2021,B2,39447
10090,3,2021,B2,34918
10090,1,2022,B1,5343
10091,10,2021,B3,29183
10091,1,2021,B3,44233
10091,10,2022,B3,10677
10091,3,2021,B2,28072
10091,12,2021,B1,20156
10091,11,2022,B3,17674
10091,5,2022,B3,1032
10092,9,2021,B1,6316
10092,1,2022,B4,25145
10092,4,2021,B5,6168
10092,4,2022,B4,45454
10092,6,2022,B3,24936
10092,3,2022,B3,20856
10093,10,2021,B5,22596
10093,11,2021,B3,47530
10093,6,2022,B4,6357
10093,4,2021,B4,36597
10093,9,2022,B4,10110
10093,3,2022,B3,3845
10093,2,2022,B1,46301
10094,1,2021,B4,54671
10094,7,2022,B3,20308
10094,3,2021,B5,21636
10094,4,2022,B3,14513
10094,9,2022,B2,15337
10094,10,2022,B1,14145
10095,12,2022,B2,28122
10095,8,2022,B3,7440
10095,7,2021,B5,6659
10096,2,2021,B1,27275
10096,7,2022,B3,21162
10096,8,2022,B4,14490
10096,5,2021,B4,19790
10096,10,2022,B3,13459
10096,10,2022,B4,27727
10096,6,2021,B4,38125
10097,4,2021,B4,9476
10097,4,2021,B1,36307
10097,5,2021,B2,8221
10097,7,2022,B2,30093
10097,7,2021,B2,4509
10097,11,2021,B1,9779
10097,8,2022,B4,3573
10097,10,2021,B4,21803
10097,12,2022,B3,9150
10098,9,2021,B5,5507
10098,8,2021,B3,8241
10098,12,2021,B1,20432
10098,6,2021,B4,47643
10098,11,2021,B2,6113
10098,4,2021,B2,15845
10098,7,2022,B1,13384
10098,8,2022,B1,20038
10098,7,2022,B5,6895
10098,9,2022,B3,20863
10099,2,2022,B3,11665
10099,4,2021,B1,28966
10099,3,2021,B2,41623
10099,6,2021,B1,6089
10099,3,2021,B1,16957
10100,4,2022,B1,8147
10100,2,2021,B5,11642
10100,11,2021,B4,63320
10100,8,2022,B2,13520
10100,12,2021,B4,40458
10101,10,2021,B5,31765
10101,11,2021,B5,10054
10101,8,2021,B4,2384
10101,1,2021,B3,26459
10102,2,2021,B1,11069
10102,10,2022,B2,15154
10102,8,2021,B3,2121
10102,3,2021,B1,35238
10103,7,2021,B5,14104
10103,7,2022,B5,41260
10103,1,2022,B4,13046
10103,1,2021,B3,23816
10103,6,2021,B5,32587
10103,8,2021,B5,38978
10104,4,2022,B3,7530
10104,9,2022,B4,53028
10104,11,2022,B2,18331
10104,3,2022,B3,22246
10104,8,2022,B3,43140
10104,12,2021,B3,7408
10104,6,2022,B1,15118
10104,11,2022,B1,29063
10105,10,2022,B4,8652
10105,4,2021,B4,29564
10105,11,2022,B2,7215
10105,9,2022,B5,16748
10105,9,2021,B3,15099
10105,9,2021,B5,16980
10105,3,2021,B1,34991
10105,8,2021,B3,20456
10106,8,2022,B3,41940
10106,5,2021,B3,12889
10106,11,2022,B2,46082
10106,9,2022,B1,29503
10106,3,2022,B4,20745
10107,7,2022,B3,5935
10107,9,2022,B2,30102
10107,12,2021,B3,22281
10107,7,2022,B5,15322
10108,7,2022,B2,42467
10108,7,2021,B2,5921
10108,12,2022,B1,35203
10109,2,2022,B4,4171
10109,1,2022,B4,45336
10109,5,2021,B4,5988
10109,3,2021,B4,36992
10109,3,2021,B4,18874
10110,10,2021,B3,22529
10110,3,2022,B1,34771
10110,6,2022,B1,5600
10111,4,2022,B7,40844
10111,4,2021,B1,65837
10111,7,2022,B2,4132
10111,12,2022,B4,45899
10111,4,2022,B3,15132
10111,2,2022,B3,2828
10111,8,2022,B2,50285
10112,5,2021,B2,43587
10112,7,2022,B2,2748
10112,8,2022,B1,19908
10112,6,2022,B3,9929
10112,11,2021,B5,20905
10112,10,2021,B1,17955
10113,3,2022,B1,18066
10113,8,2022,B2,23777
10113,7,2021,B5,47868
10113,4,2021,B1,13537
10113,12,2022,B2,13452
10113,10,2022,B5,28269
10114,4,2021,B4,48325
10114,2,2021,B5,15940
10114,2,2021,B4,63761
10115,6,2021,B6,24656
10115,10,2021,B5,6523
10115,5,2022,B5,27944
10115,7,2022,B1,4996
10115,9,2021,B3,6431
10115,11,2022,B2,9113
10115,10,2021,B2,11778
10115,6,2022,B4,9684
10115,2,2022,B4,9930
10115,12,2022,B5,2388
10115,2,2022,B2,10421
10116,8,2022,B3,8635
10116,9,2022,B1,7477
10116,9,2022,B3,28505
10116,2,2022,B1,20238
10116,9,2022,B4,5080
10116,7,2021,B4,7327
10116,2,2021,B4,47147
10117,1,2021,B4,11689
10117,12,2022,B2,32019
10117,1,2021,B5,11155
10117,5,2021,B2,7831
10117,5,2022,B1,29091
10117,4,2022,B3,14224
10117,3,2021,B1,36279
10118,1,2022,B1,67624
10118,9,2022,B2,20570
10118,9,2022,B4,2569
10119,5,2021,B2,12857
10119,4,2022,B2,25571
10119,12,2021,B2,27305
10120,4,2021,B2,30527
10120,7,2021,B4,6383
10120,7,2022,B2,10538
10120,8,2022,B3,18925
10120,8,2022,B2,11608
10120,10,2022,B3,23363
10120,9,2021,B2,33902
10120,2,2022,B1,9259
10121,11,2021,B4,27453
10121,2,2021,B1,16423
10121,4,2022,B1,19033
10121,10,2021,B2,13735
10121,9,2021,B5,13264
10121,2,2021,B5,34186
10121,7,2022,B4,21512
10121,6,2021,B5,5559
10122,3,2021,B5,32179
10122,11,2021,B2,21709
10122,10,2022,B2,11255
10122,5,2021,B3,24859
10122,8,2021,B1,25198
10123,1,2021,B3,31311
10123,10,2022,B2,9113
10123,1,2022,B1,30404
10123,8,2022,B1,26829
10123,6,2021,B4,28840
10123,12,2022,B4,17938
10124,9,2022,B1,34347
10124,11,2021,B3,27201
10124,10,2021,B3,48463
10124,3,2022,B2,3095
10124,5,2021,B4,53783
10124,11,2021,B1,23398
10125,11,2021,B1,26817
10125,11,2022,B3,46460
10125,9,2022,B2,21824
10125,6,2021,B4,13878
10125,9,2022,B5,7806
10125,7,2021,B2,30149
10125,11,2022,B5,1566
10125,10,2021,B4,12144
10126,3,2021,B3,20647
10126,4,2021,B4,6049
10126,5,2021,B3,40046
10126,10,2022,B3,16104
10126,6,2022,B5,9289
10126,1,2021,B2,24431
10126,8,2022,B5,45233
10126,4,2021,B2,25653
10126,12,2022,B2,33776
10127,5,2022,B4,28306
10127,12,2022,B3,8743
10127,12,2021,B2,54487
10127,5,2022,B2,6544
10127,5,2021,B2,11437
10127,10,2021,B5,31474
10127,12,2022,B1,46466
10127,7,2022,B5,38467
10128,11,2021,B3,24261
10128,8,2021,B2,7964
10128,8,2021,B3,5212
10128,5,2022,B1,5983
10128,2,2021,B4,25592
10128,2,2021,B4,30941
10129,10,2022,B7,2399
10129,2,2021,B5,58845
10129,9,2022,B1,6519
10129,4,2022,B2,3519
10129,11,2021,B4,6679
10129,9,2022,B2,16651
10129,6,2021,B3,7178
10129,1,2022,B3,43382
10129,10,2022,B4,42438
10129,10,2021,B2,13993
10130,2,2021,B5,10932
10130,12,2021,B1,66327
10130,1,2021,B1,20784
10131,2,2022,B4,26378
10131,7,2022,B5,24898
10131,8,2021,B5,11271
10131,8,2021,B5,36033
10131,10,2021,B1,3584
10131,8,2021,B3,11428
10131,3,2021,B4,18014
10131,12,2021,B4,15564
10132,10,2022,B3,28430
10132,1,2022,B2,53248
10132,10,2022,B3,36208
10132,6,2021,B4,39420
10133,8,2022,B1,6057
10133,3,2021,B5,5705
10134,2,2022,B2,31278
10134,7,2021,B1,29836
10134,1,2022,B5,38666
10134,4,2021,B1,6298
10134,9,2021,B1,18910
10134,3,2021,B2,5218
10134,11,2021,B5,12223
10134,1,2021,B2,27225
10134,6,2022,B2,8571
10134,6,2021,B3,12676
10134,4,2022,B5,17626
10135,9,2022,B7,23173
10135,1,2022,B5,37165
10135,10,2022,B4,34598
10135,8,2021,B2,26355
10135,10,2021,B3,18395
10135,7,2021,B1,31080
10136,5,2021,B7,45953
10136,10,2021,B2,13801
10136,2,2021,B4,12630
10136,12,2021,B2,12180
10136,4,2022,B2,25192
10136,7,2021,B5,8005
10137,10,2022,B5,49054
10137,5,2021,B4,40877
10137,10,2022,B5,18562
10137,2,2022,B5,4464
10137,7,2022,B3,18537
10138,2,2021,B5,8664
10138,12,2021,B5,13964
10138,2,2021,B3,53359
10138,4,2022,B2,47765
10138,7,2021,B3,25878
10138,12,2022,B3,50820
10138,10,2022,B4,26910
10139,8,2021,B1,57176
10139,1,2022,B4,11491
10139,10,2021,B3,16599
10139,6,2021,B1,2100
10139,7,2022,B1,35459
10140,8,2022,B3,9721
10140,3,2022,B4,43817
10140,12,2021,B1,8100
10140,4,2022,B2,5385
10140,7,2021,B5,19037
10140,3,2021,B1,18812
10140,4,2021,B2,4931
10141,8,2021,B1,28509
10141,2,2021,B1,12299
10141,8,2021,B1,8804
10141,7,2021,B2,7930
10141,8,2021,B3,19650
10141,3,2022,B5,2795
10142,8,2021,B5,8179
10142,8,2021,B3,7556
10142,10,2021,B5,18207
10142,2,2022,B3,47785
10142,9,2021,B1,43295
10143,2,2021,B5,6451
10143,8,2022,B1,14163
10143,3,2021,B1,4880
10143,2,2022,B5,26935
10143,9,2022,B4,11168
10143,5,2021,B5,66977
10143,7,2021,B2,27022
10143,5,2022,B2,30395
10143,7,2021,B4,15342
10143,3,2021,B5,19206
10143,7,2021,B5,13681
10143,7,2022,B3,11595
10144,11,2021,B5,28042
10144,2,2021,B2,49210
10144,11,2022,B4,3246
10144,8,2021,B1,49402
10144,9,2022,B2,22593
10144,10,2021,B2,1297
10144,4,2022,B2,1419
10144,4,2022,B4,34657
10144,9,2021,B5,23505
10145,8,2021,B2,8199
10145,1,2021,B3,7350
10145,4,2022,B3,11455
10145,6,2021,B3,1879
10145,4,2022,B5,23580
10146,6,2021,B3,22296
10146,2,2021,B2,40515
10146,11,2022,B1,7127
10146,5,2021,B5,6231
10146,6,2021,B5,27106
10146,6,2021,B5,10910
10146,10,2021,B4,5306
10147,12,2021,B1,41771
10147,5,2021,B4,36273
10147,10,2021,B4,26708
10147,3,2022,B2,30532
10147,10,2022,B4,48690
10147,12,2022,B1,3819
10148,5,2021,B4,9276
10148,3,2022,B1,14822
10148,3,2021,B1,31827
10148,8,2022,B1,11920
10148,2,2022,B2,4862
10148,7,2021,B5,17186
10148,10,2021,B1,20596
10148,5,2021,B2,4600
10148,10,2021,B1,22579
10149,8,2022,B5,6953
10149,7,2022,B2,34528
10149,6,2021,B1,5346
10149,11,2021,B5,43055
10149,4,2022,B5,27311
10150,12,2021,B1,19942
10150,12,2021,B1,27307
10150,7,2022,B2,32281
10150,10,2021,B2,22544
10151,12,2021,B1,35233
10151,5,2021,B4,15490
10151,4,2021,B2,8441
10151,12,2022,B5,5531
10151,8,2022,B5,19480
10151,2,2022,B1,27080
10151,12,2022,B2,14304
10151,5,2021,B2,55705
10152,6,2021,B1,24757
10152,11,2021,B3,29728
10152,2,2022,B2,52098
10152,6,2021,B4,11230
10153,8,2022,B1,43017
10153,4,2022,B3,9702
10153,4,2022,B5,29885
10153,7,2022,B1,3371
10154,11,2021,B1,16780
10154,2,2021,B4,30479
10154,4,2021,B3,8970
10154,6,2022,B1,24060
10154,5,2022,B4,8519
10154,9,2022,B3,14495
10155,2,2022,B3,7669
10155,10,2022,B5,20573
10155,3,2022,B1,3144
10155,5,2022,B4,5545
10156,8,2021,B3,30358
10156,5,2021,B3,58657
10156,1,2021,B4,13843
10156,4,2021,B4,10625
10156,5,2022,B3,25417
10157,4,2021,B4,22061
10157,10,2022,B4,13379
10157,1,2022,B1,15344
10158,5,2021,B3,15894
10159,7,2021,B4,1436
10159,11,2021,B4,28594
10159,7,2021,B1,21596
10159,10,2022,B4,29025
10159,9,2021,B5,22394
10159,11,2021,B4,17205
10159,11,2021,B5,47297
10160,6,2021,B3,4320
10160,4,2021,B1,13545
10160,10,2022,B2,3077
10160,5,2022,B1,2326
10161,5,2022,B1,2106
10162,4,2022,B3,15777
10162,11,2022,B3,6434
10162,1,2021,B2,61395
10162,1,2022,B2,6373
10162,11,2021,B4,20957
10162,12,2022,B4,16498
10163,3,2022,B4,42474
10163,3,2021,B5,6135
10163,11,2021,B3,15346
10163,7,2022,B5,7335
10163,6,2021,B4,28906
10163,10,2022,B5,9833
10163,10,2022,B2,20724
10164,12,2022,B3,28580
10164,8,2021,B3,48964
10164,6,2021,B4,2350
10164,2,2022,B3,18823
10164,7,2021,B4,55524
10164,9,2022,B3,37928
10164,5,2021,B1,62326
10164,1,2021,B5,27483
10165,5,2022,B5,43234
10165,2,2022,B4,12161
10165,4,2021,B5,24326
10166,3,2022,B3,8960
10166,5,2021,B1,35044
10166,11,2022,B3,23642
10166,1,2021,B4,16289
10167,11,2022,B5,20218
10167,1,2022,B3,9531
10168,12,2021,B4,2906
10168,10,2021,B4,18063
10168,4,2022,B1,33700
10168,9,2021,B1,5936
10168,3,2021,B5,11711
10168,3,2021,B1,27911
10168,9,2022,B2,34143
10168,10,2021,B4,30312
10168,10,2022,B3,8334
10168,4,2022,B5,27118
10168,3,2021,B3,47510
10169,5,2021,B2,6120
10169,3,2022,B1,16851
10169,2,2021,B1,8923
10169,8,2021,B4,6347
10169,8,2021,B5,10947
10170,6,2021,B3,17652
10170,1,2021,B4,31464
10170,8,2022,B5,712
10170,11,2022,B4,29165
10171,1,2021,B4,14389
10171,8,2022,B1,44083
10171,2,2022,B1,9676
10171,12,2022,B5,6130
10171,3,2022,B5,19123
10171,9,2021,B3,18303
10172,8,2021,B3,11904
10172,8,2022,B2,9189
10172,8,2021,B2,26480
10172,8,2021,B3,5132
10172,7,2021,B4,12935
10173,11,2022,B1,50091
10173,10,2022,B3,23312
10173,1,2021,B1,15129
10173,8,2022,B4,28873
10173,5,2021,B2,4404
10173,2,2021,B5,17887
10173,1,2021,B3,19126
10174,8,2022,B3,51689
10174,6,2021,B2,19759
10174,4,2021,B3,14029
